Adv Roll No,SC
245058146,1
246124056,2
246133127,3
246094025,4
242013222,5
241014166,6
242020175,7
241037012,8
242045094,9
246157576,10
245054061,11
246154129,12
242051274,13
244036114,14
246023010,15
241004004,16
245057226,17
241139002,18
246207066,19
246142074,20
247019009,21
245039141,22
242031228,23
241101350,24
246157667,25
246019037,26
241109579,27
244033087,28
242075712,29
244049030,30
245024033,31
247001017,32
241105144,33
241107067,34
244046307,35
241050053,36
245014025,37
247018394,38
242026051,39
241131040,40
247003322,41
241042025,42
246088362,43
246183040,44
246052261,45
241102356,46
241032193,47
242069035,48
241004030,49
242103211,50
246153396,51
245065465,52
246119187,53
246162380,54
241017121,55
242009097,56
245063077,57
242078136,58
244015038,59
241043231,60
245062341,61
246128026,62
243024399,63
246129195,64
241007113,65
244015148,66
243023006,67
246027067,68
246158603,69
246149256,70
242042088,71
242096098,72
246045088,73
241128107,74
241109524,75
242052077,76
243052275,77
245031161,78
246174070,79
242014049,80
245010372,81
247053331,82
245049133,83
242083340,84
244012040,85
246016036,86
241003169,87
246032141,88
241058120,89
243052446,90
242017385,91
242034333,92
246035057,93
246173019,94
245064021,95
241071158,96
246045040,97
245062360,98
245010631,99
241135567,100
241028142,101
246154184,102
246161508,103
242051096,104
245006324,105
244002167,106
245056272,107
245052358,108
245020472,109
245058160,110
241111002,111
245063539,112
245032344,113
245002113,114
242008229,115
247027187,116
246020095,117
241052241,118
246090203,119
241137033,120
241053091,121
245066381,122
241051088,123
242056032,124
241130050,125
247003386,126
242054178,127
243031274,128
241042193,129
247024286,130
245064229,131
247050010,132
241112332,133
242056463,134
241111146,135
246128058,136
241135635,137
246094185,138
246163637,139
243052568,140
246156303,141
241128032,142
241094018,143
241043144,144
247004297,145
241096088,146
242077307,147
241018085,148
241153016,149
241113185,150
245008099,151
241057046,152
246154006,153
247021702,154
241122015,155
241054086,156
245061043,157
246088147,158
241112030,159
242083449,160
247003259,161
242046043,162
242003122,163
247049171,164
241061200,165
241078056,166
241064253,167
242097077,168
241111080,169
242059011,170
241111190,171
245062096,172
242078150,173
245058063,174
245058101,175
246153459,176
242097041,177
246162221,178
241042066,179
246008136,180
241055014,181
241056087,182
241094074,183
241149063,184
242027151,185
242019312,186
242030242,187
246128037,188
246039489,189
241130001,190
241133337,191
241049644,192
241049392,193
245020404,194
244015592,195
244026024,196
245009129,197
247027035,198
241042187,199
242001491,200
242004301,201
241099054,202
245017102,203
241092033,204
241032106,205
245065096,206
243052271,207
241114142,208
242075464,209
242049036,210
241130031,211
242096095,212
242011066,213
246159256,214
247004036,215
241054105,216
241020056,217
245064462,218
244021175,219
242091176,220
246015016,221
241134228,222
245005572,223
247050025,224
245062175,225
241110053,226
241109513,227
241041141,228
241054210,229
244013018,230
244011053,231
241055020,232
243039033,233
246148010,234
241017160,235
246042094,236
246049040,237
245064353,238
243052461,239
242030323,240
241113107,241
245066375,242
241110382,243
241053369,244
246173121,245
242061139,246
242019025,247
246163354,248
242049290,249
241108076,250
246029230,251
242014296,252
245063467,253
244053118,254
245057099,255
243037123,256
241102428,257
246097049,258
241130082,259
242021191,260
241052232,261
247052074,262
241113056,263
247024035,264
244054092,265
247021229,266
242030028,267
246050149,268
241053166,269
246159547,270
241128068,271
241043055,272
246114158,273
241116075,274
241047057,275
247053021,276
246130179,277
241049453,278
244033041,279
241046023,280
241007079,281
245067182,282
245066389,283
246166177,284
245058340,285
241114018,286
242030298,287
247003252,288
246109341,289
242075680,290
244015272,291
242078050,292
241045158,293
242088105,294
247013204,295
241017184,296
241045114,297
243052158,298
246018009,299
242045241,300
246056128,301
241049580,302
242023168,303
244040311,304
247025163,305
243052041,306
241115027,307
246135200,308
241050023,309
245005342,310
241101481,311
242074055,312
241018101,313
241131015,314
243050009,315
242007158,316
242070256,317
244034171,318
247051278,319
246044163,320
242077005,321
241083351,322
244044138,323
242024159,324
244008038,325
246158145,326
247019031,327
247018583,328
243021445,329
241050170,330
246191202,331
244021160,332
246055006,333
246173163,334
242032286,335
241083029,336
247039177,337
242016087,338
242074222,339
244008110,340
242040392,341
241049636,342
246135151,343
241070127,344
246045022,345
242024151,346
247011224,347
241133082,348
242093075,349
241049234,350
243052389,351
245066016,352
241135364,353
246017143,354
244021078,355
247046197,356
246039090,357
241042472,358
246099015,359
246065167,360
242021065,361
244016202,362
246165029,363
241058128,364
247053038,365
245009215,366
247044101,367
241033194,368
244036481,369
247032065,370
242004432,371
245058441,372
242030332,373
244055067,374
245065283,375
245054215,376
241005133,377
242051078,378
241116390,379
241051085,380
247018721,381
242009099,382
244057411,383
241003531,384
244010131,385
246035020,386
241049625,387
242096108,388
245037015,389
245005446,390
246049213,391
247031038,392
246154086,393
244068158,394
244009448,395
247018533,396
241133378,397
247018166,398
241135623,399
241011002,400
246081243,401
241117022,402
242075184,403
242036177,404
241051024,405
244047219,406
242044070,407
242101089,408
242093424,409
247003141,410
242040262,411
244010103,412
245020194,413
246158550,414
241054191,415
242001448,416
246014131,417
241109226,418
241054186,419
241026018,420
241124069,421
242084236,422
247038094,423
246042176,424
241049217,425
242005129,426
245020425,427
241081044,428
246012169,429
246052436,430
242053329,431
242091178,432
242007183,433
242077289,434
245023079,435
246026069,436
241087016,437
241053400,438
244025381,439
241114014,440
244053039,441
246027208,442
241043114,443
241083193,444
246055045,445
247041310,446
246050107,447
246123067,448
244036230,449
244071069,450
242053419,451
242078020,452
245027089,453
242050210,454
244037292,455
241009099,456
245058189,457
247051425,458
247038162,459
246044075,460
245059101,461
241137107,462
246144224,463
246161668,464
246035213,465
242071031,466
241086009,467
241017158,468
244003015,469
247010102,470
247041262,471
246053425,472
242025268,473
247024063,474
246103391,475
244033396,476
246150055,477
242011160,478
242004007,479
242075514,480
246122062,481
246162093,482
246191028,483
242043216,484
243052525,485
243011264,486
241150068,487
242078127,488
243004085,489
241004397,490
246012077,491
241116050,492
244002171,493
242090163,494
246016059,495
241139123,496
245064145,497
241134720,498
244077013,499
242016042,500
242065087,501
243052551,502
246155115,503
245063557,504
242072278,505
241134657,506
247029080,507
243037145,508
243034201,509
246161108,510
246157686,511
241075124,512
242009157,513
241102256,514
247016175,515
246163517,516
242046059,517
244002058,518
246173016,519
243022133,520
245058383,521
241110386,522
242031285,523
242003140,524
244014211,525
241111032,526
244053295,527
246158660,528
246149343,529
243011283,530
244014136,531
242036275,532
246041055,533
246163088,534
246134106,535
242014198,536
245057359,537
246119263,538
247036134,539
246035216,540
247036131,541
247010131,542
242030216,543
241119068,544
247043173,545
246148054,546
241025175,547
242101111,548
242091022,549
241100054,550
241094305,551
246035318,552
245067156,553
241080268,554
246056023,555
245066366,556
244046150,557
241053138,558
242086074,559
242026161,560
246012132,561
242079024,562
241111145,563
242043254,564
244029136,565
246047115,566
247003207,567
246161382,568
245066368,569
243037102,570
246166158,571
245066388,572
241069055,573
244057288,574
242031104,575
247004586,576
241058136,577
245037034,578
242062098,579
244057023,580
242019367,581
244009202,582
246039296,583
241011020,584
247052197,585
244001082,586
244024289,587
242086007,588
245019050,589
241101836,590
246011117,591
242073291,592
246032073,593
246054085,594
241052052,595
241041003,596
241137065,597
241134083,598
242050030,599
242080116,600
241114079,601
246140165,602
242054070,603
246048139,604
246120136,605
241069102,606
245057252,607
246161512,608
241128249,609
244008169,610
245020283,611
244036426,612
243035026,613
244034090,614
244039239,615
246096112,616
241120051,617
244041071,618
242088048,619
243013188,620
245032113,621
244015678,622
247006052,623
245010108,624
246138049,625
245064054,626
241048148,627
246052465,628
241052129,629
243003099,630
241110104,631
242003080,632
244065209,633
246047107,634
242031394,635
241103278,636
246192283,637
247035633,638
242075494,639
242007165,640
242050091,641
243004414,642
245064104,643
241088023,644
245054066,645
241129069,646
246088480,647
246022165,648
246190025,649
247003022,650
244043036,651
241130075,652
241048093,653
245064408,654
247048049,655
241082226,656
246161296,657
246153287,658
241133088,659
243002135,660
241083449,661
241134183,662
244040202,663
246111162,664
245056039,665
241005148,666
241133607,667
241049315,668
245056128,669
241114131,670
242022011,671
242075073,672
241128157,673
241003622,674
241058047,675
242084222,676
246038180,677
242045381,678
245058033,679
247035204,680
244041155,681
247026052,682
241140015,683
242099035,684
246089177,685
242088174,686
241001104,687
243034153,688
245060101,689
242052205,690
242029259,691
246161052,692
245061022,693
242013070,694
242009174,695
247037013,696
241049264,697
246040129,698
246191123,699
245038236,700
244002134,701
247033164,702
242033001,703
245053105,704
241109197,705
241129007,706
242069266,707
244048205,708
243031214,709
247021096,710
245057130,711
243052543,712
244042065,713
246168070,714
241013113,715
246150284,716
247018503,717
242062183,718
241049250,719
247048102,720
241152031,721
244015495,722
241048178,723
241053296,724
245064219,725
243038141,726
241071095,727
246053448,728
241053289,729
242043270,730
247051270,731
246052140,732
241049665,733
246163536,734
246141187,735
247008278,736
244001292,737
242041342,738
241066014,739
246090100,740
243052546,741
247011274,742
242041045,743
242099066,744
242034367,745
241007100,746
244039164,747
241059054,748
247051442,749
246065019,750
244039320,751
245053100,752
241083021,753
245068020,754
242019230,755
242009295,756
246151154,757
246159125,758
241003457,759
247019439,760
241133245,761
245053053,762
246128065,763
247043144,764
241134175,765
246142038,766
246149172,767
241033118,768
246063242,769
241082181,770
241140010,771
242022285,772
246014123,773
242093464,774
247030021,775
242052123,776
245020410,777
241049318,778
247012122,779
241049188,780
241134389,781
246170035,782
242074168,783
242021232,784
241049648,785
245065002,786
244032018,787
241153249,788
242048068,789
246149485,790
246172064,791
245016428,792
244037130,793
244071180,794
245063232,795
245064390,796
242045207,797
244003145,798
242082318,799
241103482,800
245039221,801
247033012,802
243049022,803
242079083,804
246055210,805
242055169,806
244050139,807
247038318,808
242049180,809
244001138,810
242097156,811
245053116,812
247037006,813
242084061,814
242067306,815
241101744,816
246029204,817
247009171,818
244014165,819
247053059,820
241013052,821
242035164,822
242019142,823
246022076,824
242051435,825
242015315,826
242051201,827
242084181,828
244001131,829
242021227,830
244054263,831
245023127,832
241050157,833
241043281,834
245067078,835
246157633,836
246023094,837
242008036,838
246052153,839
244010206,840
241049257,841
241108187,842
244034075,843
241075031,844
241023225,845
244034160,846
246132053,847
242023030,848
241101639,849
247018649,850
246053055,851
247023134,852
242091016,853
244015333,854
242072310,855
241045029,856
241095154,857
243020246,858
246008059,859
242020294,860
241121043,861
242010097,862
246154389,863
244036271,864
245006315,865
245061032,866
244037248,867
241043109,868
245039099,869
245065315,870
247039222,871
241111063,872
246174064,873
242033256,874
242022303,875
242053317,876
246035037,877
246172017,878
245066227,879
243052630,880
241129073,881
247043255,882
246138128,883
242034235,884
241080329,885
241134680,886
241003123,887
241043086,888
241115095,889
241135513,890
242056281,891
246090173,892
241032129,893
246145085,894
241050195,895
242056119,896
246012054,897
242060320,898
242064328,899
241023368,900
241134160,901
247018250,902
241109210,903
242005126,904
246167125,905
243052560,906
247038253,907
242007162,908
242091068,909
242057385,910
246154193,911
242045104,912
247051056,913
245062164,914
241042030,915
244040255,916
241079087,917
244038286,918
242062153,919
242013289,920
247033035,921
242063192,922
242036290,923
242004011,924
246050042,925
242029126,926
242002078,927
244057041,928
242009201,929
247003341,930
242023218,931
246131154,932
243025436,933
246035097,934
246045041,935
244042087,936
245062086,937
247036179,938
241043217,939
246192295,940
242067088,941
244022108,942
243016304,943
245024356,944
247053018,945
241033176,946
244014241,947
241039183,948
245026176,949
241058196,950
244023084,951
241014099,952
241095056,953
241053389,954
245062163,955
241049538,956
247033137,957
245020245,958
246091465,959
246156202,960
242067273,961
246053453,962
244033247,963
241104445,964
241138204,965
242009001,966
246131212,967
247001113,968
244043034,969
245006167,970
244032160,971
241049484,972
242075551,973
247009125,974
247018498,975
244031180,976
247034008,977
247049009,978
241019057,979
241131088,980
244001322,981
244033372,982
242069100,983
245064064,984
245058407,985
241135092,986
244047117,987
242004255,988
241137076,989
242069342,990
247039320,991
243052500,992
242076090,993
244008139,994
242075683,995
243003079,996
244015285,997
241107110,998
241113022,999
244041295,1000
242018315,1001
242086187,1002
246091038,1003
244042039,1004
246004013,1005
242053272,1006
245009252,1007
245011087,1008
242057136,1009
241153146,1010
245066399,1011
242069153,1012
242093082,1013
243007115,1014
241005030,1015
242065156,1016
242091116,1017
241049642,1018
245039041,1019
242001315,1020
247051179,1021
241014134,1022
245010587,1023
246032282,1024
241133054,1025
247053318,1026
245064272,1027
241019107,1028
246170079,1029
247003334,1030
241112100,1031
243052093,1032
246129235,1033
247026022,1034
246130131,1035
246050104,1036
242027300,1037
247004403,1038
242035280,1039
246027425,1040
241112290,1041
241044213,1042
241134688,1043
241102068,1044
241065078,1045
247031092,1046
246159418,1047
241134177,1048
245063520,1049
247006115,1050
241052201,1051
247053281,1052
247002170,1053
241101335,1054
246038059,1055
247005131,1056
241157011,1057
247030220,1058
241044226,1059
241018020,1060
242050146,1061
242075199,1062
242057270,1063
241120016,1064
244036042,1065
244007055,1066
242018375,1067
244033148,1068
247003487,1069
241003257,1070
246197049,1071
242103097,1072
243004372,1073
242066153,1074
241136028,1075
241112347,1076
246012012,1077
242008117,1078
244041287,1079
242065285,1080
241140004,1081
243053046,1082
245002302,1083
243004200,1084
241055047,1085
247043412,1086
244051243,1087
242030420,1088
242050301,1089
241049138,1090
246138097,1091
242051085,1092
242026230,1093
244071009,1094
242011028,1095
242015313,1096
246171283,1097
242008062,1098
242065120,1099
242020184,1100
241103064,1101
242011163,1102
242005159,1103
242102060,1104
245066468,1105
245059110,1106
247026057,1107
245062154,1108
246012078,1109
242043187,1110
241089034,1111
242058108,1112
245062162,1113
241130064,1114
244019154,1115
246154280,1116
247042622,1117
245053109,1118
244023061,1119
245039211,1120
247054102,1121
241010089,1122
247048036,1123
244043234,1124
246163231,1125
241094335,1126
244039019,1127
244017022,1128
245066183,1129
241043170,1130
242060357,1131
241070541,1132
246154038,1133
244036300,1134
246079031,1135
241087137,1136
245066261,1137
245052010,1138
247053289,1139
246138056,1140
244065030,1141
245060136,1142
242080085,1143
242013149,1144
244043142,1145
246093283,1146
243051058,1147
242075572,1148
246141184,1149
242085076,1150
246047162,1151
247019322,1152
242086091,1153
245053012,1154
247005059,1155
242070196,1156
244029025,1157
241021071,1158
242021275,1159
247024057,1160
245062355,1161
241039101,1162
244076037,1163
241081038,1164
241136020,1165
241051054,1166
244010085,1167
242056094,1168
244021213,1169
245064410,1170
245063516,1171
247053255,1172
245063096,1173
246143048,1174
245060091,1175
244034114,1176
247053084,1177
243010127,1178
242025291,1179
241043272,1180
241034126,1181
244022091,1182
241016167,1183
241047034,1184
242047142,1185
242091005,1186
242031334,1187
241114117,1188
241110343,1189
246145041,1190
241112142,1191
245023231,1192
247002013,1193
245058045,1194
246151155,1195
247006083,1196
242056249,1197
246042070,1198
245056178,1199
245059060,1200
241088034,1201
241113178,1202
241101180,1203
243018394,1204
243039190,1205
241064347,1206
243052534,1207
243052022,1208
246044059,1209
242049459,1210
242055160,1211
242017075,1212
243008126,1213
241049252,1214
242005023,1215
247043163,1216
242088103,1217
246027469,1218
244034067,1219
246057070,1220
246191170,1221
243003435,1222
247042263,1223
241156009,1224
245058165,1225
242080187,1226
241111228,1227
242042187,1228
246198064,1229
246146043,1230
241004228,1231
245065259,1232
243027029,1233
242055322,1234
247045224,1235
246131012,1236
242040124,1237
246173010,1238
244043049,1239
245002191,1240
246149455,1241
247050127,1242
247041317,1243
246172049,1244
242055126,1245
246064216,1246
246202280,1247
241133491,1248
247030128,1249
246194060,1250
245014169,1251
242035069,1252
241080318,1253
244043408,1254
244023118,1255
246049276,1256
241062073,1257
245058068,1258
242001359,1259
246109015,1260
242019052,1261
241004349,1262
242053092,1263
242089228,1264
241101228,1265
244043319,1266
244025327,1267
243034173,1268
242017125,1269
242079184,1270
243020094,1271
245053121,1272
247013138,1273
247022258,1274
246055175,1275
242003100,1276
246028230,1277
241112243,1278
245009330,1279
246035275,1280
247029070,1281
245053055,1282
242070105,1283
245064198,1284
246144032,1285
247022283,1286
246099039,1287
245056158,1288
246052234,1289
242036318,1290
247043180,1291
245054058,1292
244052004,1293
247022335,1294
243049079,1295
241142086,1296
242072419,1297
246154367,1298
244031152,1299
245018060,1300
246121229,1301
241032174,1302
244057365,1303
242035380,1304
246160157,1305
241013138,1306
244006019,1307
244048064,1308
242101106,1309
247036082,1310
246157453,1311
246053178,1312
246176028,1313
246137032,1314
245062547,1315
241004050,1316
242036156,1317
245064429,1318
245066129,1319
246053188,1320
242065302,1321
246087022,1322
242021261,1323
241094028,1324
241138162,1325
242068037,1326
241057004,1327
246159483,1328
242015021,1329
242005077,1330
241134225,1331
242093198,1332
247051098,1333
245065186,1334
242050066,1335
242020215,1336
247011154,1337
242017135,1338
241051096,1339
241112125,1340
241110130,1341
241134466,1342
247018029,1343
241042230,1344
247022180,1345
242019337,1346
241149055,1347
242097047,1348
242077179,1349
242101213,1350
243052258,1351
246053424,1352
244010183,1353
242105041,1354
242073265,1355
242002105,1356
247041025,1357
242015091,1358
241033033,1359
242034095,1360
241141030,1361
246039624,1362
245063521,1363
246017158,1364
245033098,1365
247019379,1366
244036056,1367
241071446,1368
242060136,1369
247008476,1370
246149250,1371
241041161,1372
246175011,1373
242020004,1374
245066247,1375
241135448,1376
246193049,1377
244062002,1378
247024115,1379
242019664,1380
241049058,1381
241003517,1382
247046261,1383
241011022,1384
244021332,1385
242054272,1386
246196246,1387
247013202,1388
247016040,1389
244041067,1390
241104548,1391
241050183,1392
245054182,1393
245060135,1394
244005122,1395
243010212,1396
247030046,1397
241110208,1398
245024446,1399
242010082,1400
246065099,1401
247051275,1402
241128190,1403
245054222,1404
243053095,1405
246156114,1406
243052075,1407
246039316,1408
246038049,1409
245061026,1410
246035138,1411
242065090,1412
242001078,1413
242012105,1414
241102441,1415
241007153,1416
243053091,1417
241057009,1418
245008390,1419
246139143,1420
244014067,1421
242081334,1422
245069162,1423
246043053,1424
245011049,1425
242041095,1426
247008129,1427
242027065,1428
246049199,1429
241128098,1430
244069042,1431
243007134,1432
241142033,1433
246088365,1434
241134554,1435
244004144,1436
247018050,1437
241101096,1438
241130109,1439
241135425,1440
244025147,1441
241128033,1442
246053192,1443
247031117,1444
246041095,1445
242013073,1446
245059108,1447
242030316,1448
243020207,1449
244010317,1450
246129139,1451
243010008,1452
247052307,1453
242077284,1454
244041419,1455
242094036,1456
242092109,1457
241128167,1458
245006348,1459
241028032,1460
241103203,1461
241057022,1462
244066391,1463
241091095,1464
242103196,1465
247004584,1466
246039739,1467
241020094,1468
241055049,1469
246171332,1470
245028100,1471
242025380,1472
241094338,1473
243035184,1474
241041062,1475
241114070,1476
246003059,1477
242057039,1478
246013086,1479
246039462,1480
241109063,1481
244057510,1482
243052441,1483
244020338,1484
244065037,1485
247003184,1486
242017047,1487
242085096,1488
247035597,1489
247030074,1490
242036100,1491
247046065,1492
246136159,1493
242058166,1494
241135117,1495
242085049,1496
242072206,1497
241129015,1498
245062298,1499
246163002,1500
244046049,1501
246048436,1502
246039706,1503
241069043,1504
241109089,1505
247022372,1506
242086115,1507
246052444,1508
246126028,1509
247036221,1510
243021766,1511
246159262,1512
247038093,1513
241050024,1514
246093201,1515
245064193,1516
246014013,1517
241008120,1518
241134613,1519
242022034,1520
244065498,1521
247005102,1522
245053084,1523
241133655,1524
244065599,1525
242082122,1526
245039258,1527
242042303,1528
246148021,1529
246096161,1530
246008124,1531
241134550,1532
246039220,1533
242023209,1534
244036370,1535
247039324,1536
241008192,1537
246029054,1538
241048035,1539
241109673,1540
242032258,1541
244051179,1542
246169082,1543
245021007,1544
247023014,1545
241071434,1546
247039357,1547
242061132,1548
246112078,1549
245065277,1550
243024065,1551
245052043,1552
247027140,1553
246022098,1554
246149241,1555
241096117,1556
246157529,1557
241051052,1558
241137167,1559
247052087,1560
241017218,1561
242051138,1562
242066127,1563
246095001,1564
244061071,1565
244044209,1566
246052311,1567
241119080,1568
247022006,1569
242060014,1570
246154306,1571
245060216,1572
246035170,1573
247033189,1574
242023183,1575
247055017,1576
244025180,1577
244048330,1578
244069037,1579
241137008,1580
246151024,1581
245038391,1582
241134087,1583
241136008,1584
247022219,1585
241018119,1586
244041182,1587
241086073,1588
242041004,1589
247007064,1590
244009441,1591
244055221,1592
247025007,1593
242070028,1594
245053017,1595
244069045,1596
241156033,1597
241044098,1598
241003133,1599
245030439,1600
246105210,1601
241032149,1602
247038230,1603
246048062,1604
241062020,1605
246161149,1606
246121077,1607
245039034,1608
246169069,1609
242052269,1610
242029177,1611
245010284,1612
242061200,1613
242078184,1614
246056041,1615
241044208,1616
241070160,1617
247018626,1618
242019329,1619
246173004,1620
242004074,1621
244021285,1622
242025091,1623
241098005,1624
241112109,1625
241133150,1626
244045106,1627
242030011,1628
242070223,1629
242081144,1630
241110402,1631
242095103,1632
241109130,1633
242013229,1634
242045275,1635
246088108,1636
241070690,1637
242099058,1638
241077060,1639
246199016,1640
247011347,1641
247035394,1642
241133454,1643
246154081,1644
245023072,1645
244058125,1646
242050020,1647
242023135,1648
241053288,1649
242028014,1650
242031002,1651
246134140,1652
242049157,1653
244046152,1654
247023128,1655
245063088,1656
245011048,1657
246021077,1658
246039877,1659
242091040,1660
247019010,1661
242025150,1662
241079099,1663
246027204,1664
246003129,1665
241114264,1666
247052243,1667
246172041,1668
242054071,1669
246023141,1670
242092136,1671
242088175,1672
244010401,1673
245013133,1674
247009155,1675
244036185,1676
246105456,1677
246156247,1678
241107029,1679
245063470,1680
245058181,1681
241103460,1682
247041235,1683
242021037,1684
247023102,1685
242032292,1686
241003044,1687
245062379,1688
246053137,1689
241055076,1690
244009115,1691
246008071,1692
242066136,1693
247027017,1694
247035451,1695
242014436,1696
241013062,1697
241049465,1698
241151065,1699
242095152,1700
242078182,1701
246172126,1702
246049263,1703
244015439,1704
245052027,1705
246097090,1706
246159039,1707
244011082,1708
247035642,1709
247053424,1710
244038098,1711
246141134,1712
242043209,1713
243052124,1714
244044030,1715
246053030,1716
241144001,1717
247053426,1718
247039288,1719
243048081,1720
243004050,1721
241102469,1722
242086018,1723
246172178,1724
242089031,1725
246054066,1726
246143001,1727
247042012,1728
243013164,1729
247037047,1730
241109254,1731
242102286,1732
243028205,1733
241108133,1734
244040350,1735
242070093,1736
246187022,1737
246039557,1738
241154040,1739
241053142,1740
247035541,1741
245066376,1742
242063042,1743
242079173,1744
246144150,1745
244040246,1746
246039115,1747
245058212,1748
242052036,1749
246065296,1750
245056151,1751
242034271,1752
244010277,1753
245063348,1754
244020296,1755
246103329,1756
241030013,1757
241071015,1758
244039034,1759
246144121,1760
246153447,1761
243052367,1762
241130007,1763
245062248,1764
245050228,1765
241016133,1766
241038291,1767
242033144,1768
245063249,1769
246119115,1770
241118031,1771
241113102,1772
246004078,1773
242005115,1774
247018243,1775
243032101,1776
247013018,1777
243052567,1778
245056076,1779
242077116,1780
242101056,1781
246162125,1782
246029181,1783
242030343,1784
245038423,1785
241101145,1786
246042008,1787
241064584,1788
244025214,1789
241052117,1790
242067008,1791
244015349,1792
241043241,1793
246161383,1794
241064178,1795
247052154,1796
242098222,1797
246196221,1798
243048080,1799
244043188,1800
242005224,1801
246153348,1802
245056074,1803
243049046,1804
242101236,1805
246103123,1806
246107043,1807
242062050,1808
241013194,1809
241012034,1810
241133178,1811
247041207,1812
244033394,1813
246035025,1814
242057025,1815
244060053,1816
247039291,1817
242072142,1818
241101083,1818
242075407,1820
246051022,1821
241014189,1822
244053154,1823
247007038,1824
241003193,1825
242034188,1826
242053372,1827
244063072,1828
241068140,1829
245027177,1830
244032152,1831
246091550,1832
247029084,1833
245065355,1834
241107042,1835
246029499,1836
241112165,1837
242042010,1838
247013107,1839
242005228,1840
246130084,1841
242018355,1842
246006134,1843
247033087,1844
245017107,1845
241133223,1846
247018698,1847
246172119,1848
244049018,1849
246017078,1850
246011043,1851
245038054,1852
247010154,1853
247017073,1854
242036357,1855
244076188,1856
241008017,1857
246149019,1858
245009007,1859
244036088,1860
242015049,1861
241058145,1862
241109507,1863
244041469,1864
246175166,1865
246156458,1866
246156083,1867
242009064,1868
245024531,1869
242054298,1870
241083052,1871
247011223,1872
245018308,1873
241128210,1874
242025365,1875
242070214,1876
247019337,1877
247055023,1878
242036045,1879
245059064,1880
246119363,1881
246158507,1882
245062073,1883
241113020,1884
243021681,1885
246051117,1886
246018174,1887
241087093,1888
247051675,1889
243052485,1890
246132013,1891
245064146,1892
245030476,1893
242075368,1894
245032052,1895
241083293,1896
243030080,1897
242059197,1898
247039383,1899
242030357,1900
247033200,1901
245023393,1902
245069151,1903
245064437,1904
241069271,1905
247004547,1906
246134133,1907
242027052,1908
241110296,1909
245054118,1910
241089090,1911
242019081,1912
244040150,1913
244033352,1913
245006275,1915
246014011,1916
242046103,1917
242058065,1918
241105138,1919
242101173,1920
247001015,1921
244068238,1922
246144151,1923
242014017,1924
247018582,1925
246040011,1926
242019575,1927
241059005,1928
241049682,1929
245067095,1930
241053023,1931
245064046,1932
242034398,1933
242004330,1934
241005113,1935
242058410,1936
247053178,1937
242007222,1938
242013387,1939
